Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,1,37,780,9,0.05227583067819755,4,4,0.85,12,200,500,"3-Random","4-Random",0.0018898508371750424,0.06488854557531538,0.07878707501354289,0.05892151151856359,0.11558109249720182,0.3590912909141629,0.4664061050700717
2,3,9,597,3,0.0938142922166591,4,4,0.85,0,200,500,"1-DailyPurchase","1-(s,Q)",0.0,0.0,0.0,0.016366432337434095,0.24590839191564148,0.24590839191564148,0.49181678383128297
2,4,29,1086,5,0.05809285389167047,4,4,0.85,14,200,500,"1-DailyPurchase","2-(s,S)",0.0015308201546106886,0.08007767963614142,0.015502938617365253,0.04125920513274449,0.1490056879618421,0.20641170669839837,0.603323400207015
2,2,18,20,4,0.0874237596722804,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.006792377443091642,0.19819454126699787,0.6479419620025382,0.03130239401439374,0.2891936691872821,0.3706973702719451,0.308806566526379
2,9,25,841,13,0.059731451979972705,4,4,0.85,4,200,500,"1-DailyPurchase","2-(s,S)",0.0003743188645817697,0.06548705719270247,0.003197280626808916,0.0057924954001162205,0.19604443178460623,0.14627883671189076,0.6518842361033866
2,3,23,295,9,0.012335002275830679,4,4,0.85,14,200,500,"3-Random","3-(R,S)",0.0016803354932578333,0.12651767192140279,0.2986699636173504,0.03291951430693114,0.22673485839357954,0.388377997522816,0.3519676297766734
1,7,3,1270,1,0.07357760582612653,4,4,0.85,5,200,500,"1-DailyPurchase","2-(s,S)",0.0010254854147092264,0.10304128572014268,0.02484168552530446,0.12955775967635,0.3218399802422965,0.13525619964100957,0.41334606044034394
2,6,26,1361,9,0.06558944014565317,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0016694590815664676,0.07262604003579691,0.0023491241025790878,0.04333891708223684,0.17926270602282418,0.19009353631978845,0.5873048405751505
2,7,35,50,13,0.04641784251251707,4,4,0.85,10,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.004000728856187896,0.13030812588933305,0.4942953213205257,0.017288540461901186,0.3694373270029866,0.3152899197145406,0.29798421282057164
3,6,35,1178,2,0.017660446062812928,4,4,0.85,9,200,500,"3-Random","4-Random",0.0037829126837514607,0.14128716334382652,0.42619906366640925,0.1218252712157465,0.24557283647561717,0.33423172012446545,0.29837017218417095
2,6,17,627,11,0.05280837505689578,4,4,0.85,4,200,500,"1-DailyPurchase","2-(s,S)",0.0005521500846167466,0.08147631854899834,0.003931491891146364,0.0058946230930350535,0.1689291016436988,0.15960241345356507,0.6655738618097011
1,1,1,937,13,0.03310423304506145,4,4,0.85,1,200,500,"3-Random","4-Random",0.0,0.012129524435042114,0.014895718476421613,0.033862294367984734,0.23591370548625346,0.11277193553595403,0.6174520646098077
3,1,14,479,2,0.06026399635867093,4,4,0.85,11,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.009722773734699125,0.14683301120179762,0.25091461572562,0.32776683597645495,0.13830045674264274,0.27110649281091964,0.2628262144699826
