Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,5,7,444,8,0.028511027534319652,4,4,0.85,1,200,500,"3-Random","3-(R,S)",0.00057098821388635,0.08838447037007834,0.06229023599866814,0.01699952879096259,0.22660910866400552,0.19105416516109427,0.5653371973839376
3,7,4,73,6,0.035446377930614704,4,4,0.85,8,200,500,"3-Random","3-(R,S)",0.0009018420321859752,0.1634848451400693,0.40287325297294935,0.021530323406936558,0.3386911958950126,0.15347345611317237,0.4863050245848784
2,6,31,733,8,0.09678228806000136,4,4,0.85,2,200,500,"1-DailyPurchase","4-Random",0.000913392117779729,0.09626890423616573,0.003668375744280924,0.005116430569651228,0.14430184715224673,0.16862049135953605,0.681961230918566
2,4,12,81,6,0.09203079721092197,4,4,0.85,9,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.004617737057877669,0.11851865890271848,0.3557167468211525,0.048899236988155875,0.3097226680071907,0.2787769075893562,0.36260118741529723
1,8,7,444,8,0.09955753831871741,4,4,0.85,14,200,500,"3-Random","1-(s,Q)",0.0025217801654062845,0.01875035309117324,0.0003868689179245361,0.10461774515981433,0.22560411527537,0.13707768085719468,0.5327004587076211
2,5,18,1324,12,0.03743989277541645,4,4,0.85,15,200,500,"1-DailyPurchase","2-(s,S)",0.0005016313309637672,0.06141009293130128,0.003259060392969127,0.014890316313143664,0.15634041271822724,0.14062153044930795,0.6881477405193211
3,9,36,22,12,0.01704930773691088,4,4,0.85,11,200,500,"1-DailyPurchase","1-(s,Q)",0.0011807207683496343,0.10112024469508699,0.2785578069816615,0.001940180982417084,0.47242297940758143,0.23349658854327707,0.29214025106672437
2,10,7,516,9,0.020267230976474114,4,4,0.85,5,200,500,"3-Random","4-Random",9.527674935109536e-05,0.101177160559242,0.015330297674777886,0.02027004770132683,0.32042016190413003,0.17348082005147566,0.48582897034306743
1,4,27,175,11,0.029553137472291324,4,4,0.85,14,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.00314506617743415,0.15421166853075127,0.4481800106315298,0.04556888136075219,0.30473207560692966,0.4058706770452576,0.24382836598706065
2,7,25,381,6,0.04094303459565246,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.001795745854948436,0.0799181845824112,0.16688196122643423,0.03481670262831425,0.31578949082876767,0.2750291694434624,0.37436463709945556
3,4,8,1260,2,0.04269927624154143,4,4,0.85,2,200,500,"1-DailyPurchase","3-(R,S)",0.00024355783611868125,0.10093969225132028,0.14196007315311437,0.014062376425614975,0.22270000392611922,0.15745555474347156,0.6057820649047941
2,4,5,1057,10,0.0278773569623893,4,4,0.85,5,200,500,"3-Random","1-(s,Q)",0.00011863272056353031,0.004607359965994915,0.0026660602480408245,0.026656671301603846,0.18142336771822726,0.09644594186616762,0.6954740191140012
1,3,15,1470,7,0.01775885929305031,4,4,0.85,12,200,500,"1-DailyPurchase","1-(s,Q)",0.0010155805527552926,0.10704540707020145,0.0008270916843301947,0.03096778612125074,0.2045434719483133,0.26086167407163496,0.5036270678588011
1,7,5,1160,5,0.02996141416896278,4,4,0.85,3,200,500,"1-DailyPurchase","1-(s,Q)",0.0006764499904501177,0.05324150984426553,0.005722043717794938,0.01094068295496333,0.2583326909023655,0.16580629443024808,0.5649203317124232
