Fact,Distr1,Distr2,Clients_N,Demand_W,DS_D,HC,Lt0,Lt1,SS_%,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
3,15,10,48,28,2,0.023909000927535794,4,4,0.85,200,500,"1-DailyPurchase","4-Random",0.00010077352366787827,0.1260429417106826,0.061342217390075594,0.00245386620797545,0.3470160984059565,0.18530719925109415,0.46522283613497395
1,1,3,8,4,0,0.01710770929586536,4,4,0.85,200,500,"1-DailyPurchase","2-(s,S)",0.0001250364689701163,0.20008223424107285,0.760250952274255,0.001402406529604802,0.3164390093400275,0.3038453987041764,0.37831318542619136
3,7,7,273,19,4,0.02274787797252284,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0003805431906594185,0.07563502444778354,0.0459131950769732,0.017736625689781252,0.2184212521470866,0.13368886304519242,0.6301532591179396
4,20,6,299,14,4,0.06001974619840404,4,4,0.85,200,500,"1-DailyPurchase","4-Random",3.680835839740869e-05,0.04768650781332788,0.00743128859504737,0.0021536285910972383,0.0753341920650492,0.038126671401276895,0.8843855079425766
1,1,1,11,8,3,0.05724494480973627,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",0.00032235642547018706,0.2421736540042384,0.5845551938250149,0.022236943274803928,0.3711093613333043,0.22027234388026232,0.3863813515116295
1,5,3,57,14,0,0.07149947785143071,4,4,0.85,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0008510041381245178,0.0772979193339796,0.05393825702308993,0.03267714567311021,0.34535397489386227,0.21221742294958362,0.4097514564834438
2,1,3,43,21,3,0.09854232490031758,4,4,0.85,200,500,"3-Random","1-(s,Q)",0.0007140837568959056,0.0458592505141482,0.01728037367448737,0.033316321433576525,0.17634434977772265,0.183108110827074,0.6072312179616268
1,1,2,83,19,2,0.03773809287441328,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",0.00048692893380417556,0.02790387372724415,0.03179544715788149,0.045641414169822744,0.2178083560961616,0.1847853299070463,0.5517648998269693
1,2,6,171,2,0,0.04450182013769246,4,4,0.85,200,500,"3-Random","3-(R,S)",0.0,0.0,0.0,0.015921734126222904,0.32802608862459237,0.32802608862459237,0.32802608862459237
3,5,3,43,19,2,0.04373846705821853,4,4,0.85,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.00043019959381640293,0.10209916449724689,0.12266123786787016,0.017514263274486516,0.3378442180086893,0.15050409929007136,0.4941374194267528
1,4,4,127,13,0,0.07719980349089589,4,4,0.85,200,500,"3-Random","4-Random",0.00011282497622616572,0.04515507417778441,0.029156181777012565,0.02944158112744639,0.2938240758247353,0.19064665972759517,0.486087683320223
2,11,30,735,27,1,0.052364123235645745,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.0005406659932114992,0.07156758165423972,0.000988741021788927,0.004705662134106354,0.15834528206156748,0.135894782175613,0.7010542736287132
